ga:date,bounceRate,sessions,pageviews,avgTimeOnPage,avgSessionDuration,avgPageLoadTime
20210110,24.477861319966582,1197,2705,55.226851851851855,69.79197994987469,7.562636363636364
20210111,49.094781682641106,1878,2320,229.361797752809,54.346645367412144,3.9535384615384612
20210121,47.53117206982543,2005,2262,406.8255813953488,52.35411471321696,4.2122413793103455
20210210,51.9277108433735,1660,1848,411.5625,47.59759036144578,5.690833333333333
20210118,26.288659793814436,1552,1842,364.89003436426117,68.41559278350516,4.492411764705882
20210125,24.717607973421927,1505,1807,348.1623376623377,72.4,3.7066666666666666
20210119,23.235092529129542,1459,1723,405.50187265917606,74.40301576422208,4.270130434782609
20210120,23.728813559322035,1416,1719,342.08852459016396,73.6885593220339,4.518642857142857
20201214,90.4373610081542,1349,1683,187.76047904191617,46.49814677538918,5.8451129032258065
20201212,90.625,1408,1651,219.01234567901236,37.79971590909091,5.249206896551724
20210124,25.249424405218722,1303,1640,295.834808259587,76.96776669224866,4.596857142857143
20210114,22.547468354430382,1264,1620,307.1764705882353,88.46835443037975,4.850333333333333
20210411,57.694962042788134,1449,1609,304.7826086956522,33.87301587301587,5.751642857142857
20210511,55.738831615120276,1455,1601,351.3422818791946,35.978006872852234,6.40325
20210312,55.65455791638109,1459,1592,448.8175182481752,42.139821795750514,4.015454545454546
20210126,25.7411424439624,1383,1589,374.09004739336496,58.317425885755604,4.764111111111111
20201207,89.65517241379311,1305,1572,198.26394052044608,40.89195402298851,5.579291666666667
20210127,25.158227848101266,1264,1559,281.58249158249157,66.16613924050633,4.833454545454545
20201204,87.57961783439491,1256,1558,253.37417218543047,60.93232484076433,5.5925714285714285
20201206,86.61679135494596,1203,1553,190.39265536723164,56.07647547797174,6.2862238805970145
20210112,22.521137586471944,1301,1539,394.5726141078838,73.08455034588778,3.5103571428571425
20201208,88.5193982581156,1263,1529,254.85767790262173,55.44418052256532,6.1021133333333335
20210113,26.319875776397517,1288,1515,335.50655021834064,59.64518633540373,4.400399999999999
20201201,89.67100229533283,1307,1509,285.3168316831683,44.1017597551645,4.978973856209151
20210419,23.422053231939163,1315,1504,416.22513089005236,60.44790874524715,8.161111111111111
20210610,50.921149594694185,1357,1501,458.5374149659864,49.6683861459101,4.702100000000001
20201209,88.97058823529412,1224,1490,250.48314606741573,54.64705882352941,8.810790209790209
20201213,91.2308930008045,1243,1481,179.63598326359832,34.544650040225264,6.229324503311258
20210116,27.787021630615637,1202,1480,298.6085409252669,69.85274542429285,3.936315789473684
20210117,24.143556280587276,1226,1480,362.046875,75.61582381729201,6.268588235294118
20200909,88.77654196157735,989,1459,157.91702127659573,75.04044489383216,5.568691056910569
20201220,47.65886287625418,1196,1459,342.7148288973384,75.35451505016722,5.259337748344371
20210128,25.061025223759152,1229,1451,411.0493273542601,74.58096013018715,4.493133333333334
20210201,21.85089974293059,1167,1450,312.62105263157895,76.34447300771208,5.495
20210105,22.193658954584407,1167,1444,300.83812949640287,71.67352185089975,5.6990483870967745
20210203,24.36332767402377,1178,1442,376.0,84.25806451612904,4.689809523809524
20210422,25.800711743772244,1124,1430,356.90849673202615,97.15925266903915,8.9425
20201203,91.35906040268456,1192,1424,209.38362068965517,40.75335570469799,6.598487603305785
20210324,22.61904761904762,1176,1418,394.1174089068826,83.11309523809524,8.787600000000001
20201215,87.87878787878788,1122,1417,180.8271186440678,47.571301247771835,5.97395652173913
20201202,89.79933110367892,1196,1413,244.69124423963135,44.39464882943144,4.949709677419355
20201216,87.20626631853786,1149,1405,266.408560311284,59.592689295039165,5.357732026143791
20201124,89.2050209205021,1195,1404,303.0094786729858,53.73556485355648,4.9905
20210202,22.652885443583116,1161,1403,366.1918367346939,77.27131782945736,4.741428571428572
20201210,87.53269398430689,1147,1394,248.65060240963857,53.975588491717524,5.69354716981132
20210415,25.64814814814815,1080,1384,300.1546052631579,84.48796296296297,9.230777777777778
20201126,89.88391376451078,1206,1376,332.280701754386,47.12189054726368,6.644942148760331
20210317,24.864376130198913,1106,1376,290.64338235294116,71.72784810126582,7.630375
20201228,24.067495559502664,1126,1372,312.3927125506073,68.5284191829485,4.819784615384616
20201219,88.88888888888889,1134,1371,214.76793248945148,44.89329805996473,5.211688741721854
20210406,23.450134770889488,1113,1371,340.04597701149424,79.72506738544475,7.314909090909091
20210316,26.557093425605537,1156,1363,401.60869565217394,71.91003460207612,6.955809523809524
20201223,23.083700440528634,1135,1361,406.89130434782606,82.68898678414097,4.998099236641221
20210209,22.966934763181413,1119,1361,352.1818181818182,76.16621983914209,8.242818181818182
20210107,25.365434221840065,1163,1359,384.18367346938777,64.74806534823732,7.464054421768707
20210325,24.558303886925795,1132,1358,295.0353982300885,58.899293286219084,9.133636363636365
20210104,21.79930795847751,1156,1357,397.9852941176471,71.44204152249135,5.775522727272727
20210106,22.01914708442124,1149,1357,342.0377358490566,63.33072236727589,6.111109589041096
20210122,23.958333333333336,1152,1357,383.69711538461536,69.27256944444444,4.754307692307693
