clicks,impressions,ctr,position,query,page
3037,26251,0.11569083082549236,2.514380404556017,mockup nedir,https://ceaksan.com/tr/mockup-nedir
2751,6743,0.40797864452024324,1.6041821147857038,regex nedir,https://ceaksan.com/tr/regex-regular-expressions-nedir
2042,5401,0.3780781336789483,1.7311608961303462,foreign key nedir,https://ceaksan.com/tr/primary-unique-foreign-key
1961,58865,0.033313513972649283,4.523655822645035,api nedir,https://ceaksan.com/tr/api-nedir
1728,4323,0.39972241498959055,1.3844552394170715,middleware nedir,https://ceaksan.com/tr/middleware-nedir-ne-ise-yarar
1589,16808,0.09453831508805331,4.094954783436458,firebase nedir,https://ceaksan.com/tr/firebase-nedir-nasil-kullanilir
1419,12920,0.1098297213622291,3.8291795665634676,pivot tablo nedir,https://ceaksan.com/tr/pivot-table-nedir
1226,20155,0.060828578516497145,3.482361696849417,latex nedir,https://ceaksan.com/tr/tex-ve-latex-nedir
1174,3932,0.29857578840284843,2.2131230925737535,heroku nedir,https://ceaksan.com/tr/heroku-nedir
1139,11507,0.09898322760059095,2.9747110454505954,metadata nedir,https://ceaksan.com/tr/metadata-ust-veri-nedir
1106,11874,0.09314468586828364,2.503452922351356,dashboard nedir,https://ceaksan.com/tr/dashboard-nedir
1019,2462,0.4138911454102356,1.251421608448416,grafana nedir,https://ceaksan.com/tr/grafana-nedir
966,5807,0.1663509557430687,1.4005510590666437,zotero nedir,https://ceaksan.com/tr/zotero-nedir
964,8769,0.10993271752765424,2.7552742616033754,mock up nedir,https://ceaksan.com/tr/mockup-nedir
922,4867,0.1894390795151017,1.2484076433121019,sso nedir,https://ceaksan.com/tr/single-sign-on-sso-nedir
857,19273,0.04446635189124682,5.013282830903337,json nedir,https://ceaksan.com/tr/json-nedir
850,7216,0.11779379157427938,2.7497228381374725,wireframe nedir,https://ceaksan.com/tr/wireframe-sema-tasarimi-nedir
821,4866,0.16872174270448007,1.745992601726264,tableau nedir,https://ceaksan.com/tr/tableau-nedir
808,7104,0.11373873873873874,3.700731981981982,pivot table,https://ceaksan.com/tr/pivot-table-nedir
787,1674,0.470131421744325,1.4516129032258065,regular expression nedir,https://ceaksan.com/tr/regex-regular-expressions-nedir
643,1011,0.636003956478734,1.152324431256182,linux cp komutu,https://ceaksan.com/tr/cp-komutu-ve-kullanimi
622,1723,0.3609982588508416,2.212420197330238,express js nedir,https://ceaksan.com/tr/express-js-nedir
593,1209,0.4904880066170389,1.0016542597187759,wget komutu,https://ceaksan.com/tr/wget-nedir-nasil-kullanilir
578,755,0.7655629139072848,1.0158940397350993,linux find komutu,https://ceaksan.com/tr/find-komutu-ve-kullanimi
564,3553,0.15873909372361386,3.3360540388404165,pivot table nedir,https://ceaksan.com/tr/pivot-table-nedir
563,3074,0.18314899154196487,1.479505530253741,crud nedir,https://ceaksan.com/tr/crud-create-read-update-delete
562,1487,0.37794216543375925,1.0880968392737054,boilerplate nedir,https://ceaksan.com/tr/boilerplate-code-nedir
553,5983,0.09242854755139562,1.238341968911917,sso ne demek,https://ceaksan.com/tr/single-sign-on-sso-nedir
528,3647,0.14477652865368795,2.346860433232794,webpack nedir,https://ceaksan.com/tr/webpack-nedir
502,6418,0.07821751324400125,4.50296042380804,web servis nedir,https://ceaksan.com/tr/web-service-nedir
480,11455,0.041903099083369706,4.64679179397643,pivot tablo,https://ceaksan.com/tr/pivot-table-nedir
464,2592,0.17901234567901234,2.8946759259259256,excel pivot table,https://ceaksan.com/tr/pivot-table-nedir
455,1047,0.43457497612225404,1.5081184336198663,index match kullanımı,https://ceaksan.com/tr/excel-index-match-function
453,5278,0.08582796513830997,4.867752936718453,sertifika tipi nedir,https://ceaksan.com/tr/ssl-sertifika-tipleri
450,1818,0.24752475247524752,1.9812981298129813,weka nedir,https://ceaksan.com/tr/weka-nedir
448,75266,0.0059522227831956,4.23641484867005,heroku,https://ceaksan.com/tr/heroku-nedir
436,6251,0.06974884018557032,4.325387937929931,tls nedir,https://ceaksan.com/tr/ssl-ve-tls-nedir
421,2768,0.15209537572254336,3.2611994219653178,awk,https://ceaksan.com/tr/awk-komutu
421,2667,0.15785526809148856,1.7705286839145107,knime nedir,https://ceaksan.com/tr/knime-nedir
417,13288,0.03138169777242625,4.692504515352198,apı nedir,https://ceaksan.com/tr/api-nedir
416,11489,0.036208547306118895,3.8144311950561405,api ne demek,https://ceaksan.com/tr/api-nedir
411,1267,0.324388318863457,1.681136543014996,digitalocean nedir,https://ceaksan.com/tr/digitalocean-nedir-ne-yapar
394,1288,0.3059006211180124,1.8276397515527951,markdown nedir,https://ceaksan.com/tr/markdown-nedir
393,803,0.48941469489414696,1.7459526774595266,primary key foreign key,https://ceaksan.com/tr/primary-unique-foreign-key
374,1473,0.25390359809911744,1.8438560760353022,sql tablo birleştirme,https://ceaksan.com/tr/join-types-tablo-birlestirme
373,897,0.4158305462653289,1.6733556298773689,unique key nedir,https://ceaksan.com/tr/primary-unique-foreign-key
368,879,0.41865756541524457,1.1149032992036405,single sign on nedir,https://ceaksan.com/tr/single-sign-on-sso-nedir
365,1817,0.20088057237204182,2.274078150798019,crontab kullanımı,https://ceaksan.com/tr/crontab-nedir-nasil-kullanilir
348,1627,0.21389059618930548,3.4972341733251384,excel pivot tablo nedir,https://ceaksan.com/tr/pivot-table-nedir
331,2306,0.1435385949696444,2.1929748482220295,mockup nedir,https://ceaksan.com/tr/mockup-nedir/
330,12901,0.025579412448647393,3.940237190915433,sso,https://ceaksan.com/tr/single-sign-on-sso-nedir
325,9895,0.032844871147043965,3.810813542193027,grafana,https://ceaksan.com/tr/grafana-nedir
320,6502,0.049215625961242696,4.063672716087358,etl nedir,https://ceaksan.com/tr/etl-nedir
316,1836,0.1721132897603486,3.99400871459695,rsync,https://ceaksan.com/tr/rsync-komutu-ve-kullanimi
316,2345,0.1347547974413646,2.5543710021321964,stripe nedir,https://ceaksan.com/tr/stripe-nedir
314,8604,0.036494653649465365,5.299395629939563,webp,https://ceaksan.com/tr/webp-nedir-nasil-kullanilir
312,4517,0.06907239318131503,4.199025902147444,facebook pixel nedir,https://ceaksan.com/tr/facebook-pixel-nedir-nasil-kurulur
312,2429,0.12844792095512556,3.547550432276657,single sign on,https://ceaksan.com/tr/single-sign-on-sso-nedir
309,14939,0.02068411540263739,4.126045920074972,dashboard ne demek,https://ceaksan.com/tr/dashboard-nedir
303,4256,0.07119360902255639,3.293937969924812,middleware,https://ceaksan.com/tr/middleware-nedir-ne-ise-yarar
292,5799,0.05035350922572857,5.00948439386101,excel pivot tablo,https://ceaksan.com/tr/pivot-table-nedir
291,7711,0.037738295940863704,4.007002982751913,api nedir,https://ceaksan.com/tr/api-nedir/
281,583,0.48198970840480276,2.003430531732419,veri enformasyon bilgi örnek,https://ceaksan.com/tr/veri-enformasyon-ve-bilgi
280,921,0.30401737242128124,1.6742671009771986,firebase kullanımı,https://ceaksan.com/tr/firebase-nedir-nasil-kullanilir
274,2629,0.10422213769494104,1.9079497907949792,curl nedir,https://ceaksan.com/tr/curl-nedir-nasil-kullanilir
272,1310,0.20763358778625954,1.2068702290076336,sso nedir,https://ceaksan.com/tr/posts/single-sign-on-sso-nedir
270,538,0.5018587360594795,1.4981412639405205,crontab nedir,https://ceaksan.com/tr/crontab-nedir-nasil-kullanilir
269,490,0.5489795918367347,1.6510204081632653,linux sed komutu,https://ceaksan.com/tr/sed-komutu
269,3731,0.07209863307424283,4.600911283838113,wget,https://ceaksan.com/tr/wget-nedir-nasil-kullanilir
