,Date
0,2014-01-01
1,2014-04-23
2,2014-05-01
3,2014-05-19
4,2014-07-27
5,2014-07-28
6,2014-07-29
7,2014-07-30
8,2014-08-30
9,2014-10-03
10,2014-10-04
11,2014-10-05
12,2014-10-06
13,2014-10-07
14,2014-10-28
15,2014-10-29
16,2015-01-01
17,2015-04-23
18,2015-05-01
19,2015-05-19
20,2015-07-16
21,2015-07-17
22,2015-07-18
23,2015-07-19
24,2015-08-30
25,2015-09-23
26,2015-09-24
27,2015-09-25
28,2015-09-26
29,2015-09-27
30,2015-10-28
31,2015-10-29
32,2016-01-01
33,2016-04-23
34,2016-05-01
35,2016-05-19
36,2016-07-04
37,2016-07-05
38,2016-07-06
39,2016-07-07
40,2016-08-30
41,2016-09-11
42,2016-09-12
43,2016-09-13
44,2016-09-14
45,2016-09-15
46,2016-10-28
47,2016-10-29
48,2017-01-01
49,2017-04-23
50,2017-05-01
51,2017-05-19
52,2017-06-24
53,2017-06-25
54,2017-06-26
55,2017-06-27
56,2017-08-30
57,2017-08-31
58,2017-09-01
59,2017-09-02
60,2017-09-03
61,2017-09-04
62,2017-10-28
63,2017-10-29
64,2018-01-01
65,2018-04-23
66,2018-05-01
67,2018-05-19
68,2018-06-14
69,2018-06-15
70,2018-06-16
71,2018-06-17
72,2018-08-20
73,2018-08-21
74,2018-08-22
75,2018-08-23
76,2018-08-24
77,2018-08-30
78,2018-10-28
79,2018-10-29
80,2019-01-01
81,2019-04-23
82,2019-05-01
83,2019-05-19
84,2019-06-04
85,2019-06-05
86,2019-06-06
87,2019-06-07
88,2019-08-10
89,2019-08-11
90,2019-08-12
91,2019-08-13
92,2019-08-14
93,2019-08-30
94,2019-10-28
95,2019-10-29
96,2020-01-01
97,2020-04-23
98,2020-05-01
99,2020-05-19
100,2020-05-23
101,2020-05-24
102,2020-05-25
103,2020-05-26
104,2020-07-30
105,2020-07-31
106,2020-08-01
107,2020-08-02
108,2020-08-03
109,2020-08-30
110,2020-10-28
111,2020-10-29
112,2021-01-01
113,2021-04-23
114,2021-05-01
115,2021-05-12
116,2021-05-13
117,2021-05-14
118,2021-05-15
119,2021-05-19
120,2021-07-19
121,2021-07-20
122,2021-07-21
123,2021-07-22
124,2021-07-23
125,2021-08-30
126,2021-10-28
127,2021-10-29
128,2022-01-01
129,2022-04-23
130,2022-05-01
131,2022-05-01
132,2022-05-02
133,2022-05-03
134,2022-05-04
135,2022-05-19
136,2022-07-08
137,2022-07-09
138,2022-07-10
139,2022-07-11
140,2022-07-12
141,2022-08-30
142,2022-10-28
143,2022-10-29
